series_id,group_id,currency_to_sek,date,currency,currency_description,source
SEKUSDPMI,130,10.169,2023-12-20,USD,US dollar,Sveriges Riksbank
SEKDKKPMI,130,1.4925,2023-12-20,DKK,Danish krone,Sveriges Riksbank
SEKEURPMI,130,11.129,2023-12-20,EUR,Euroland euro,Sveriges Riksbank
SEKEURPMI,130,11.175,2023-12-19,EUR,Euroland euro,Sveriges Riksbank
SEKUSDPMI,130,10.1943,2023-12-19,USD,US dollar,Sveriges Riksbank
SEKETT,130,1.0,2023-12-19,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKDKKPMI,130,1.4987,2023-12-19,DKK,Danish krone,Sveriges Riksbank
SEKGBPPMI,130,12.9798,2023-12-19,GBP,pound sterling,Sveriges Riksbank
SEKGBPPMI,130,12.9198,2023-12-18,GBP,pound sterling,Sveriges Riksbank
SEKDKKPMI,130,1.495,2023-12-18,DKK,Danish krone,Sveriges Riksbank
SEKEURPMI,130,11.145,2023-12-18,EUR,Euroland euro,Sveriges Riksbank
SEKUSDPMI,130,10.2079,2023-12-18,USD,US dollar,Sveriges Riksbank
SEKETT,130,1.0,2023-12-18,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKDKKPMI,130,1.5039,2023-12-15,DKK,Danish krone,Sveriges Riksbank
SEKUSDPMI,130,10.2435,2023-12-15,USD,US dollar,Sveriges Riksbank
SEKEURPMI,130,11.2125,2023-12-15,EUR,Euroland euro,Sveriges Riksbank
SEKETT,130,1.0,2023-12-15,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.0632,2023-12-15,GBP,pound sterling,Sveriges Riksbank
SEKETT,130,1.0,2023-12-14,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKUSDPMI,130,10.239,2023-12-14,USD,US dollar,Sveriges Riksbank
SEKEURPMI,130,11.18,2023-12-14,EUR,Euroland euro,Sveriges Riksbank
SEKGBPPMI,130,13.0068,2023-12-14,GBP,pound sterling,Sveriges Riksbank
SEKDKKPMI,130,1.4993,2023-12-14,DKK,Danish krone,Sveriges Riksbank
SEKUSDPMI,130,10.4542,2023-12-13,USD,US dollar,Sveriges Riksbank
SEKGBPPMI,130,13.0945,2023-12-13,GBP,pound sterling,Sveriges Riksbank
